model,category,Platinum,Gold,Silver,Bronze,Catastrophic
Adult,HHS_HCC035_2,2.688,2.502,2.429,2.389,2.388
Adult,HHS_HCC036,0.831,0.732,0.665,0.600,0.598
Adult,HHS_HCC037_1,0.636,0.556,0.490,0.434,0.432
Adult,HHS_HCC037_2,0.636,0.556,0.490,0.434,0.432
Adult,HHS_HCC041,19.388,19.268,19.200,19.150,19.147
Adult,HHS_HCC042,11.001,10.715,10.646,10.623,10.623
Adult,HHS_HCC045,4.958,4.766,4.662,4.603,4.602
Adult,HHS_HCC046,2.865,2.677,2.605,2.583,2.583
Adult,HHS_HCC047,2.670,2.465,2.360,2.281,2.280
Adult,HHS_HCC048,0.560,0.478,0.307,0.202,0.198
Adult,HHS_HCC054,9.170,8.984,8.936,8.926,8.925
Adult,HHS_HCC055,4.709,4.508,4.448,4.436,4.436
Adult,HHS_HCC056,1.186,1.082,0.996,0.918,0.915
Adult,HHS_HCC057,0.539,0.453,0.355,0.247,0.244
Adult,HHS_HCC061,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC062,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC063,1.762,1.636,1.552,1.483,1.482
Adult,HHS_HCC066,71.881,71.567,71.487,71.480,71.480
Adult,HHS_HCC067,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC068,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC069,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC070,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC071,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC073,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC074,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC075,2.135,2.044,1.979,1.921,1.919
Adult,HHS_HCC081,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC082,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC083,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC084,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC087_1,2.365,2.179,2.064,1.971,1.969
Adult,HHS_HCC087_2,2.365,2.179,2.064,1.971,1.969
Adult,HHS_HCC088,1.161,1.043,0.937,0.832,0.828
Adult,HHS_HCC090,0.847,0.753,0.647,0.536,0.532
Adult,HHS_HCC094,2.271,2.138,2.050,1.971,1.968
Adult,HHS_HCC096,8.408,8.344,8.287,8.227,8.224
Adult,HHS_HCC097,1.278,1.200,1.133,1.071,1.069
Adult,HHS_HCC102,1.034,0.939,0.838,0.739,0.735
Adult,HHS_HCC103,0.847,0.753,0.647,0.536,0.532
Adult,HHS_HCC106,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC107,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC108,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC109,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC110,5.080,4.868,4.778,4.718,4.716
Adult,HHS_HCC111,4.804,4.625,4.519,4.424,4.421
Adult,HHS_HCC112,1.332,1.150,1.043,0.950,0.947
Adult,HHS_HCC113,0.655,0.574,0.497,0.419,0.417
Adult,HHS_HCC114,1.381,1.278,1.199,1.120,1.118
Adult,HHS_HCC115,5.140,5.033,4.993,4.969,4.968
Adult,HHS_HCC117,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC118,1.963,1.829,1.741,1.659,1.656
Adult,HHS_HCC119,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC120,1.173,1.061,0.974,0.892,0.889
Adult,HHS_HCC121,9.778,9.651,9.573,9.507,9.505
Adult,HHS_HCC122,10.040,9.859,9.762,9.685,9.682
Adult,HHS_HCC123,5.710,5.551,5.451,5.363,5.360
Adult,HHS_HCC125,19.636,19.402,19.298,19.235,19.234
Adult,HHS_HCC126,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC127,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC128,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC129,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC130,2.157,2.053,1.998,1.956,1.955
Adult,HHS_HCC131,5.536,5.258,5.186,5.188,5.190
Adult,HHS_HCC132,4.287,4.035,3.942,3.901,3.901
Adult,HHS_HCC135,8.954,8.833,8.741,8.652,8.649
Adult,HHS_HCC137,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC138,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC139,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC142,1.980,1.860,1.772,1.686,1.688
Adult,HHS_HCC145,10.523,10.326,10.234,10.173,10.171
Adult,HHS_HCC146,1.432,1.306,1.241,1.195,1.194
Adult,HHS_HCC149,2.340,2.200,2.114,2.037,2.035
Adult,HHS_HCC150,3.422,3.280,3.238,3.230,3.231
Adult,HHS_HCC151,2.540,2.419,2.349,2.287,2.285
Adult,HHS_HCC153,7.708,7.537,7.515,7.546,7.547
Adult,HHS_HCC154,5.409,5.242,5.172,5.129,5.128
Adult,HHS_HCC156,7.584,7.470,7.369,7.258,7.253
Adult,HHS_HCC158,11.151,10.965,10.891,10.876,10.874
Adult,HHS_HCC159,5.579,5.369,5.265,5.195,5.193
Adult,HHS_HCC160,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC161_1,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC161_2,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC162,1.765,1.656,1.581,1.510,1.507
Adult,HHS_HCC163,5.932,5.949,5.984,6.020,6.021
Adult,HHS_HCC174,1.365,1.229,1.113,1.003,1.000
Adult,HHS_HCC183,6.045,5.980,5.984,6.020,6.021
Adult,HHS_HCC184,20.979,20.542,20.529,20.537,20.540
Adult,HHS_HCC187,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC188,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC203,2.029,1.826,1.630,1.415,1.409
Adult,HHS_HCC204,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC205,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC207,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC208,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC209,2.752,2.534,2.266,1.892,1.881
Adult,HHS_HCC210,0.997,0.868,0.695,0.496,0.489
Adult,HHS_HCC211,0.653,0.555,0.412,0.264,0.259
Adult,HHS_HCC212,0.085,0.039,0.000,0.000,0.000
Adult,HHS_HCC217,1.619,1.508,1.452,1.413,1.412
Adult,HHS_HCC218,22.367,22.109,22.009,21.957,21.955
Adult,HHS_HCC219,2.792,2.658,2.577,2.515,2.513
Adult,HHS_HCC223,17.057,16.879,16.774,16.689,16.686
Adult,HHS_HCC226,8.033,7.753,7.679,7.672,7.672
Adult,HHS_HCC228,4.501,4.312,4.206,4.117,4.115
Adult,HHS_HCC234,5.039,4.853,4.792,4.777,4.777
Adult,HHS_HCC251,21.119,21.111,21.064,21.027,21.026
Adult,HHS_HCC253,5.948,5.817,5.773,5.756,5.756
Adult,HHS_HCC254,1.474,1.347,1.284,1.244,1.244
Adult,G01,0.305,0.253,0.205,0.162,0.160
Adult,G02B,27.297,27.064,27.000,26.985,26.986
Adult,G04,2.312,2.156,2.064,1.988,1.985
Adult,G06A,12.233,12.099,12.047,12.013,12.010
Adult,G07A,2.351,2.242,2.164,2.096,2.093
Adult,G08,4.086,3.968,3.911,3.865,3.863
Adult,G09A,1.993,1.829,1.698,1.561,1.556
Adult,G09C,1.005,0.876,0.779,0.689,0.687
Adult,G10,9.171,8.978,8.882,8.814,8.812
Adult,G11,6.793,6.624,6.538,6.469,6.467
Adult,G12,1.640,1.528,1.435,1.339,1.335
Adult,G13,8.426,8.201,8.093,8.029,8.027
Adult,G14,18.901,18.730,18.647,18.621,18.624
Adult,G21,2.292,2.187,2.109,2.043,2.041
Adult,G15A,0.703,0.613,0.523,0.431,0.428
Adult,G16,0.761,0.675,0.651,0.635,0.633
Adult,G17A,0.748,0.650,0.509,0.325,0.317
Adult,G18A,3.882,3.578,3.308,3.023,3.017
Adult,SEVERE_HCC_COUNT1,-5.932,-5.949,-5.984,-6.020,-6.021
Adult,SEVERE_HCC_COUNT2,-5.403,-5.470,-5.504,-5.531,-5.531
Adult,SEVERE_HCC_COUNT3,-4.343,-4.388,-4.335,-4.244,-4.240
Adult,SEVERE_HCC_COUNT4,-3.631,-3.615,-3.460,-3.243,-3.234
Adult,SEVERE_HCC_COUNT5,-2.997,-2.890,-2.640,-2.326,-2.314
Adult,SEVERE_HCC_COUNT6,-2.707,-2.501,-2.162,-1.768,-1.754
Adult,SEVERE_HCC_COUNT7,-2.013,-1.634,-1.189,-0.714,-0.698
Adult,SEVERE_HCC_COUNT8,-1.879,-1.457,-0.988,-0.496,-0.479
Adult,SEVERE_HCC_COUNT9,-0.126,0.494,1.070,1.639,1.657
Adult,SEVERE_HCC_COUNT10PLUS,7.926,8.961,9.734,10.435,10.457
Adult,TRANSPLANT_HCC_COUNT4,4.203,4.122,4.061,3.946,3.942
Adult,TRANSPLANT_HCC_COUNT5,7.562,7.470,7.421,7.321,7.317
Adult,TRANSPLANT_HCC_COUNT6,13.706,13.624,13.586,13.503,13.499
Adult,TRANSPLANT_HCC_COUNT7,18.666,18.561,18.522,18.439,18.435
Adult,TRANSPLANT_HCC_COUNT8PLUS,33.829,33.853,33.886,33.855,33.852
Adult,HCC_ED1,9.348,7.984,6.959,6.027,5.995
Adult,HCC_ED2,4.521,3.808,3.265,2.807,2.792
Adult,HCC_ED3,2.949,2.471,2.098,1.796,1.787
Adult,HCC_ED4,1.837,1.504,1.234,1.017,1.010
Adult,HCC_ED5,1.348,1.100,0.893,0.722,0.717
Adult,HCC_ED6,0.952,0.767,0.607,0.471,0.466
Adult,RXC_01,8.080,7.445,7.089,6.763,6.756
Adult,RXC_02,7.337,6.835,6.703,6.727,6.731
Adult,RXC_03,0.103,0.094,0.086,0.063,0.039
Adult,RXC_04,1.490,1.607,1.567,1.642,1.630
Adult,RXC_05,1.700,1.574,1.367,1.157,1.149
Adult,RXC_06,1.537,1.340,1.141,0.952,0.945
Adult,RXC_07,0.812,0.706,0.582,0.432,0.427
Adult,RXC_08,22.766,21.760,21.387,21.195,21.194
Adult,RXC_09,16.493,15.865,15.676,15.713,15.715
Adult,RXC_10,16.685,16.283,16.191,16.197,16.200
Adult,RXC_01_x_HCC001,2.996,3.107,3.389,3.774,3.785
Adult,RXC_02_x_HCC037_1_036_035_2_035_1_034,-0.636,-0.556,-0.490,-0.419,-0.417
Adult,RXC_03_x_HCC142,0.000,0.000,0.000,0.000,0.000
Adult,RXC_04_x_HCC184_183_187_188,0.000,0.000,0.000,0.000,0.000
Adult,RXC_05_x_HCC048_041,-0.529,-0.478,-0.307,-0.202,-0.198
Adult,RXC_06_x_HCC018_019_020_021,0.396,0.447,0.524,0.571,0.574
Adult,RXC_07_x_HCC018_019_020_021,-0.305,-0.253,-0.205,-0.162,-0.160
Adult,RXC_08_x_HCC118,0.324,0.804,1.157,1.490,1.497
Adult,RXC_09_x_HCC056_057_and_048_041,0.898,0.993,0.857,0.920,0.922
Adult,RXC_09_x_HCC056,-1.186,-1.082,-0.996,-0.918,-0.915
Adult,RXC_09_x_HCC057,-0.539,-0.453,-0.355,-0.247,-0.244
Adult,RXC_09_x_HCC048_041,0.529,0.598,1.021,1.122,1.125
Adult,RXC_10_x_HCC159_158,48.995,49.045,49.149,49.264,49.267
Child,MAGE_LAST_2_4,0.269,0.195,0.144,0.105,0.104
Child,MAGE_LAST_5_9,0.192,0.130,0.091,0.064,0.063
Child,MAGE_LAST_10_14,0.227,0.165,0.122,0.096,0.095
Child,MAGE_LAST_15_20,0.266,0.200,0.148,0.111,0.110
Child,FAGE_LAST_2_4,0.210,0.147,0.107,0.080,0.079
Child,FAGE_LAST_5_9,0.142,0.087,0.055,0.034,0.033
Child,FAGE_LAST_10_14,0.211,0.151,0.112,0.086,0.086
Child,FAGE_LAST_15_20,0.295,0.215,0.150,0.102,0.101
Child,HHS_HCC001,6.079,5.588,5.395,5.284,5.282
Child,HHS_HCC002,14.363,14.145,14.018,13.928,13.927
Child,HHS_HCC003,13.069,12.896,12.804,12.743,12.741
Child,HHS_HCC004,10.692,10.648,10.612,10.582,10.581
Child,HHS_HCC006,16.437,16.372,16.290,16.199,16.196
Child,HHS_HCC008,30.906,30.616,30.514,30.467,30.467
Child,HHS_HCC009,8.469,8.204,8.060,7.951,7.948
Child,HHS_HCC010,7.068,6.837,6.698,6.583,6.580
Child,HHS_HCC011,4.676,4.522,4.409,4.305,4.301
Child,HHS_HCC012,4.676,4.522,4.409,4.305,4.301
Child,HHS_HCC013,0.886,0.771,0.663,0.557,0.554
Child,HHS_HCC018,11.147,10.995,10.948,10.906,10.905
Child,HHS_HCC019,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC020,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC021,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC023,18.256,18.124,18.055,18.009,18.007
Child,HHS_HCC026,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC027,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC028,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC029,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC030,6.756,6.490,6.385,6.334,6.332
Child,HHS_HCC034,11.147,10.995,10.948,10.906,10.905
Child,HHS_HCC035_1,10.003,9.845,9.793,9.778,9.778
Child,HHS_HCC035_2,9.665,9.506,9.431,9.379,9.378
Child,HHS_HCC036,2.894,2.843,2.779,2.709,2.710
Child,HHS_HCC037_1,1.659,1.500,1.437,1.434,1.435
Child,HHS_HCC037_2,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC041,13.630,13.519,13.424,13.326,13.321
Child,HHS_HCC042,17.595,17.294,17.189,17.156,17.155
Child,HHS_HCC045,4.137,3.943,3.818,3.707,3.703
Child,HHS_HCC046,11.253,11.043,10.971,10.944,10.944
Child,HHS_HCC047,4.564,4.321,4.183,4.074,4.072
Child,HHS_HCC048,10.154,9.737,9.568,9.461,9.458
Child,HHS_HCC054,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC055,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC056,5.379,5.113,4.982,4.898,4.895
Child,HHS_HCC057,0.765,0.649,0.532,0.408,0.404
Child,HHS_HCC061,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC062,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC063,1.070,0.917,0.790,0.667,0.664
Child,HHS_HCC066,72.571,72.059,71.903,71.851,71.851
Child,HHS_HCC067,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC068,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC069,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC070,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC071,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC073,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC074,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC075,3.813,3.685,3.589,3.504,3.502
Child,HHS_HCC081,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC082,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC083,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC084,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC087_1,4.245,3.948,3.771,3.630,3.626
Child,HHS_HCC087_2,3.409,3.158,2.980,2.816,2.812
Child,HHS_HCC088,2.512,2.306,2.145,1.993,1.988
Child,HHS_HCC090,0.381,0.293,0.194,0.102,0.099
Child,HHS_HCC094,2.458,2.287,2.172,2.070,2.067
Child,HHS_HCC096,11.422,11.316,11.236,11.163,11.160
Child,HHS_HCC097,0.988,0.860,0.765,0.673,0.669
Child,HHS_HCC102,2.512,2.306,2.145,1.993,1.988
Child,HHS_HCC103,0.381,0.293,0.194,0.102,0.099
Child,HHS_HCC106,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC107,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC108,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC109,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC110,4.080,3.879,3.737,3.594,3.588
Child,HHS_HCC111,47.933,47.676,47.564,47.478,47.476
Child,HHS_HCC112,1.729,1.489,1.373,1.302,1.300
Child,HHS_HCC113,0.406,0.270,0.164,0.080,0.077
Child,HHS_HCC114,1.702,1.571,1.480,1.395,1.392
Child,HHS_HCC115,9.779,9.592,9.530,9.508,9.507
Child,HHS_HCC117,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC118,12.054,11.613,11.489,11.464,11.465
Child,HHS_HCC119,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC120,1.867,1.718,1.581,1.444,1.439
Child,HHS_HCC121,10.434,10.456,10.471,10.490,10.491
Child,HHS_HCC122,10.434,10.456,10.471,10.490,10.491
Child,HHS_HCC123,5.192,5.010,4.876,4.742,4.736
Child,HHS_HCC125,27.991,27.740,27.642,27.591,27.589
Child,HHS_HCC126,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC127,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC128,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC129,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC130,5.079,4.957,4.879,4.815,4.812
Child,HHS_HCC131,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC132,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC135,16.066,15.931,15.841,15.760,15.758
Child,HHS_HCC137,3.678,3.511,3.379,3.262,3.258
Child,HHS_HCC138,1.168,1.058,0.941,0.839,0.836
Child,HHS_HCC139,0.667,0.568,0.475,0.401,0.399
Child,HHS_HCC142,2.887,2.721,2.615,2.526,2.523
Child,HHS_HCC145,12.012,11.831,11.719,11.625,11.621
Child,HHS_HCC146,1.179,1.016,0.918,0.831,0.828
Child,HHS_HCC149,1.578,1.375,1.247,1.134,1.131
Child,HHS_HCC150,4.980,4.848,4.766,4.691,4.688
Child,HHS_HCC151,2.963,2.811,2.710,2.614,2.611
Child,HHS_HCC153,12.005,11.753,11.638,11.570,11.567
Child,HHS_HCC154,6.543,6.389,6.331,6.296,6.295
Child,HHS_HCC156,20.060,19.901,19.803,19.721,19.718
Child,HHS_HCC158,13.630,13.519,13.424,13.326,13.321
Child,HHS_HCC159,53.970,53.425,53.285,53.267,53.268
Child,HHS_HCC160,2.042,1.884,1.760,1.641,1.637
Child,HHS_HCC161_1,1.236,1.070,0.911,0.755,0.749
Child,HHS_HCC161_2,0.340,0.260,0.173,0.100,0.097
Child,HHS_HCC162,1.407,1.263,1.126,0.998,0.994
Child,HHS_HCC163,10.492,10.456,10.471,10.490,10.491
Child,HHS_HCC183,11.147,10.995,10.948,10.906,10.905
Child,HHS_HCC184,35.177,34.921,34.865,34.867,34.867
Child,HHS_HCC187,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC188,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC203,2.000,1.798,1.591,1.373,1.365
Child,HHS_HCC204,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC205,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC207,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC208,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC209,2.352,2.125,1.829,1.386,1.369
Child,HHS_HCC210,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC211,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC212,0.384,0.282,0.162,0.056,0.052
Child,HHS_HCC217,2.095,1.988,1.905,1.842,1.840
Child,HHS_HCC218,19.980,19.736,19.623,19.551,19.548
Child,HHS_HCC219,2.016,1.858,1.737,1.632,1.628
Child,HHS_HCC223,19.980,19.736,19.623,19.551,19.548
Child,HHS_HCC226,4.053,3.817,3.674,3.575,3.573
Child,HHS_HCC228,4.037,3.829,3.673,3.526,3.521
Child,HHS_HCC234,0.000,0.000,0.000,0.000,0.000
Child,HHS_HCC251,13.630,13.519,13.424,13.326,13.321
Child,HHS_HCC253,7.194,7.002,6.944,6.925,6.926
Child,HHS_HCC254,0.000,0.000,0.000,0.000,0.000
Child,G01,2.582,2.320,2.054,1.777,1.771
Child,G02B,38.265,37.987,37.895,37.857,37.856
Child,G02D,5.543,5.422,5.343,5.278,5.276
Child,G03,3.304,3.091,2.970,2.884,2.882
Child,G04,1.169,1.054,0.966,0.888,0.885
Child,G06A,12.140,11.969,11.883,11.825,11.823
Child,G07A,4.829,4.619,4.494,4.397,4.394
Child,G08,4.861,4.707,4.618,4.546,4.544
Child,G09A,2.384,2.215,2.087,1.965,1.962
Child,G09C,0.910,0.760,0.622,0.527,0.524
Child,G10,9.418,9.174,9.066,9.004,9.003
Child,G11,8.841,8.595,8.497,8.441,8.440
Child,G12,5.811,5.647,5.539,5.440,5.437
Child,G13,15.409,15.142,15.014,14.936,14.935
Child,G14,13.630,13.519,13.424,13.326,13.321
Child,G23,0.514,0.454,0.421,0.401,0.401
Child,G16,0.992,0.898,0.814,0.728,0.724
Child,G17A,0.697,0.574,0.403,0.202,0.194
Child,G18A,3.397,3.083,2.773,2.395,2.383
Child,G19B,0.603,0.472,0.306,0.136,0.131
Child,G22,3.982,3.758,3.604,3.454,3.449
Child,SEVERE_HCC_COUNT1,-10.434,-10.456,-10.471,-10.490,-10.491
Child,SEVERE_HCC_COUNT2,-10.347,-10.401,-10.435,-10.468,-10.469
Child,SEVERE_HCC_COUNT3,-8.328,-8.390,-8.323,-8.235,-8.231
Child,SEVERE_HCC_COUNT4,-7.945,-7.994,-7.890,-7.708,-7.701
Child,SEVERE_HCC_COUNT5,-5.724,-5.636,-5.381,-5.071,-5.060
Child,SEVERE_HCC_COUNT6_7,-1.370,-1.098,-0.702,-0.265,-0.251
Child,SEVERE_HCC_COUNT8PLUS,15.108,15.916,16.635,17.322,17.344
Child,TRANSPLANT_HCC_COUNT4PLUS,17.558,17.665,17.716,17.749,17.750
Infant,EXTREMELY_IMMATURE_X_SEVERITY5,211.847,210.261,209.774,209.658,209.658
Infant,EXTREMELY_IMMATURE_X_SEVERITY4,148.695,146.920,146.268,145.994,145.989
Infant,EXTREMELY_IMMATURE_X_SEVERITY3,33.466,32.026,31.446,31.173,31.167
Infant,EXTREMELY_IMMATURE_X_SEVERITY2,33.466,32.026,31.446,31.173,31.167
Infant,EXTREMELY_IMMATURE_X_SEVERITY1,33.466,32.026,31.446,31.173,31.167
Infant,IMMATURE_X_SEVERITY5,114.344,112.652,112.106,111.935,111.932
Infant,IMMATURE_X_SEVERITY4,68.725,67.061,66.501,66.299,66.296
Infant,IMMATURE_X_SEVERITY3,33.466,32.026,31.446,31.173,31.167
Infant,IMMATURE_X_SEVERITY2,30.548,29.122,28.536,28.242,28.234
Infant,IMMATURE_X_SEVERITY1,25.486,24.146,23.553,23.234,23.225
Infant,PREMATURE_MULTIPLES_X_SEVERITY5,101.851,100.439,99.973,99.813,99.810
Infant,PREMATURE_MULTIPLES_X_SEVERITY4,28.535,27.102,26.509,26.228,26.222
Infant,PREMATURE_MULTIPLES_X_SEVERITY3,13.748,12.735,12.109,11.610,11.594
Infant,PREMATURE_MULTIPLES_X_SEVERITY2,7.676,6.953,6.337,5.695,5.672
Infant,PREMATURE_MULTIPLES_X_SEVERITY1,5.767,5.141,4.569,4.022,4.004
Infant,TERM_X_SEVERITY5,78.540,77.274,76.768,76.528,76.523
Infant,TERM_X_SEVERITY4,15.369,14.386,13.770,13.291,13.278
Infant,TERM_X_SEVERITY3,5.921,5.324,4.752,4.173,4.154
Infant,TERM_X_SEVERITY2,3.667,3.171,2.610,2.020,2.000
Infant,TERM_X_SEVERITY1,1.898,1.532,1.094,0.779,0.769
Infant,AGE1_X_SEVERITY5,63.543,62.814,62.526,62.389,62.386
Infant,AGE1_X_SEVERITY4,12.611,12.090,11.788,11.574,11.568
Infant,AGE1_X_SEVERITY3,2.978,2.696,2.472,2.291,2.285
Infant,AGE1_X_SEVERITY2,1.969,1.733,1.508,1.303,1.296
Infant,AGE1_X_SEVERITY1,0.573,0.489,0.433,0.392,0.391
Infant,AGE0_MALE,0.534,0.491,0.451,0.386,0.384
Infant,AGE1_MALE,0.112,0.096,0.077,0.058,0.058
