category,cn_aged,cn_disabled,cp_aged,cp_disabled,cf_aged,cf_disabled
HCC136,0.6,0.5,0.4,0.3,0.2,0.1
HCC137,0.6,0.5,0.4,0.3,0.2,0.1
HCC138,0.6,0.5,0.4,0.3,0.2,0.1
HCC157,0.6,0.5,0.4,0.3,0.2,0.1
HCC158,0.6,0.5,0.4,0.3,0.2,0.1
HCC159,0.6,0.5,0.4,0.3,0.2,0.1
HCC161,0.6,0.5,0.4,0.3,0.2,0.1
HCC162,0.6,0.5,0.4,0.3,0.2,0.1
HCC166,0.6,0.5,0.4,0.3,0.2,0.1
HCC167,0.6,0.5,0.4,0.3,0.2,0.1
HCC169,0.6,0.5,0.4,0.3,0.2,0.1
HCC170,0.6,0.5,0.4,0.3,0.2,0.1
HCC173,0.6,0.5,0.4,0.3,0.2,0.1
HCC176,0.6,0.5,0.4,0.3,0.2,0.1
HCC186,0.6,0.5,0.4,0.3,0.2,0.1
HCC188,0.6,0.5,0.4,0.3,0.2,0.1
HCC189,0.6,0.5,0.4,0.3,0.2,0.1
HCC47_gCancer,0.6,0.5,0.4,0.3,0.2,0.1
CHF_gCopdCF,0.6,0.5,0.4,0.3,0.2,0.1
HCC85_gRenal_v24,0.6,0.5,0.4,0.3,0.2,0.1
gCopdCF_CARD_RESP_FAIL,0.6,0.5,0.4,0.3,0.2,0.1
HCC85_HCC96,0.6,0.5,0.4,0.3,0.2,0.1
gSubstanceUseDisorder_gPsych,0.6,0.5,0.4,0.3,0.2,0.1
SEPSIS_PRESSURE_ULCER,0.6,0.5,0.4,0.3,0.2,0.1
SEPSIS_ARTIF_OPENINGS,0.6,0.5,0.4,0.3,0.2,0.1
ART_OPENINGS_PRESSURE_ULCER,0.6,0.5,0.4,0.3,0.2,0.1
gCopdCF_ASP_SPEC_BACT_PNEUM,0.6,0.5,0.4,0.3,0.2,0.1
ASP_SPEC_BACT_PNEUM_PRES_ULC,0.6,0.5,0.4,0.3,0.2,0.1
SEPSIS_ASP_SPEC_BACT_PNEUM,0.6,0.5,0.4,0.3,0.2,0.1
SCHIZOPHRENIA_gCopdCF,0.6,0.5,0.4,0.3,0.2,0.1
SCHIZOPHRENIA_CHF,0.6,0.5,0.4,0.3,0.2,0.1
SCHIZOPHRENIA_SEIZURES,0.6,0.5,0.4,0.3,0.2,0.1
DISABLED_HCC85,0.6,0.5,0.4,0.3,0.2,0.1
DISABLED_PRESSURE_ULCER,0.6,0.5,0.4,0.3,0.2,0.1
DISABLED_HCC161,0.6,0.5,0.4,0.3,0.2,0.1
DISABLED_HCC39,0.6,0.5,0.4,0.3,0.2,0.1
DISABLED_HCC77,0.6,0.5,0.4,0.3,0.2,0.1
DISABLED_HCC6,0.6,0.5,0.4,0.3,0.2,0.1
D1,0.6,0.5,0.4,0.3,0.2,0.1
D2,0.6,0.5,0.4,0.3,0.2,0.1
D3,0.6,0.5,0.4,0.3,0.2,0.1
D4,0.6,0.5,0.4,0.3,0.2,0.1
D5,0.6,0.5,0.4,0.3,0.2,0.1
D6,0.6,0.5,0.4,0.3,0.2,0.1
D7,0.6,0.5,0.4,0.3,0.2,0.1
D8,0.6,0.5,0.4,0.3,0.2,0.1
D9,0.6,0.5,0.4,0.3,0.2,0.1
D10P,0.6,0.5,0.4,0.3,0.2,0.1
