model,category,Platinum,Gold,Silver,Bronze,Catastrophic
Adult,HHS_HCC122,9.882,9.748,9.694,9.603,9.59
Adult,HHS_HCC123,4.525,4.398,4.338,4.242,4.228
Adult,HHS_HCC125,21.609,21.402,21.361,21.274,21.272
Adult,HHS_HCC126,0,0,0,0,0
Adult,HHS_HCC127,0,0,0,0,0
Adult,HHS_HCC128,0,0,0,0,0
Adult,HHS_HCC129,0,0,0,0,0
Adult,HHS_HCC130,1.769,1.684,1.647,1.582,1.572
Adult,HHS_HCC131,4.649,4.429,4.403,4.329,4.332
Adult,HHS_HCC132,3.381,3.185,3.139,3.036,3.03
Adult,HHS_HCC135,8.375,8.29,8.235,8.152,8.135
Adult,HHS_HCC137,0,0,0,0,0
Adult,HHS_HCC138,0,0,0,0,0
Adult,HHS_HCC139,0,0,0,0,0
Adult,HHS_HCC142,1.828,1.726,1.66,1.556,1.536
Adult,HHS_HCC145,10.182,10.182,9.975,9.888,9.881
Adult,HHS_HCC146,1.383,1.27,1.233,1.16,1.154
Adult,HHS_HCC149,2.097,1.98,1.92,1.819,1.804
Adult,HHS_HCC150,2.953,2.832,2.814,2.766,2.766
Adult,HHS_HCC151,2.464,2.353,2.305,2.226,2.217
Adult,HHS_HCC153,7.863,7.702,7.709,7.683,7.691
Adult,HHS_HCC154,4.945,4.802,4.759,4.677,4.669
Adult,HHS_HCC156,7.348,7.269,7.201,7.096,7.072
Adult,HHS_HCC158,11.135,11.055,11.028,10.997,11.001
Adult,HHS_HCC159,3.817,3.696,3.643,3.564,3.554
Adult,HHS_HCC160,0,0,0,0,0
Adult,HHS_HCC161_1,0,0,0,0,0
Adult,HHS_HCC161_2,0,0,0,0,0
Adult,HHS_HCC162,1.545,1.465,1.411,1.329,1.314
Adult,HHS_HCC163,7.234,7.127,7.083,7.012,7.002
Adult,HHS_HCC174,1.163,1.04,0.95,0.816,0.795
Adult,HHS_HCC183,0,0,0,0,0
Adult,HHS_HCC184,19.254,18.858,18.971,18.812,18.725
Adult,HHS_HCC187,0,0,0,0,0
Adult,HHS_HCC188,0,0,0,0,0
Adult,HHS_HCC203,1.579,1.424,1.295,1.098,1.066
Adult,HHS_HCC204,0,0,0,0,0
Adult,HHS_HCC205,0,0,0,0,0
Adult,HHS_HCC207,0,0,0,0,0
Adult,HHS_HCC208,0,0,0,0,0
Adult,HHS_HCC209,2.666,2.465,2.249,1.883,1.811
Adult,HHS_HCC210,0.696,0.606,0.465,0.293,0.253
Adult,HHS_HCC211,0.464,0.395,0.27,0.138,0.108
Adult,HHS_HCC212,0.012,0,0,0,0
Adult,HHS_HCC217,1.441,1.348,1.314,1.256,1.25
Adult,HHS_HCC218,25.023,24.827,24.785,24.703,24.698
Adult,HHS_HCC219,2.496,2.375,2.316,2.231,2.22
Adult,HHS_HCC223,17.515,17.368,17.304,17.197,17.182
Adult,HHS_HCC226,7.705,7.46,7.432,7.349,7.351
Adult,HHS_HCC228,4.016,3.857,3.785,3.663,3.647
Adult,HHS_HCC234,4.458,4.303,4.277,4.213,4.212
Adult,HHS_HCC251,18.845,18.875,18.852,18.849,18.844
Adult,HHS_HCC253,5.487,5.367,5.343,5.288,5.285
Adult,HHS_HCC254,0.864,0.768,0.732,0.671,0.665
Adult,G01,0.225,0.183,0.142,0.102,0.094
Adult,G02B,21.504,21.326,21.297,21.231,21.23
Adult,G04,1.742,1.622,1.559,1.459,1.445
Adult,G06A,10.803,10.679,10.651,10.586,10.578
Adult,G08,4.303,4.214,4.187,4.133,4.127
Adult,G09A,1.499,1.373,1.281,1.147,1.122
Adult,G09C,0.861,0.749,0.677,0.573,0.557
Adult,G10,9.269,9.111,9.058,8.961,8.951
Adult,G11,6.187,6.045,5.988,5.89,5.878
Adult,G12,1.326,1.238,1.172,1.078,1.06
Adult,G13,8.173,7.958,7.914,7.824,7.822
Adult,G14,15.142,15.048,15.018,14.981,14.985
Adult,G15A,0.617,0.543,0.47,0.379,0.361
Adult,G16,0.726,0.652,0.645,0.607,0.597
Adult,G17A,0.605,0.53,0.413,0.252,0.21
Adult,G18A,3.612,3.338,3.147,2.825,2.783
Adult,G21,2.03,1.942,1.885,1.81,1.798
Adult,G24,6.005,6.004,6.016,6.019,6.011
Adult,SEVERE_HCC_COUNT1,-5.773,-5.835,-5.893,-5.974,-5.987
Adult,SEVERE_HCC_COUNT2,-5.615,-5.693,-5.729,-5.792,-5.798
Adult,SEVERE_HCC_COUNT3,-4.802,-4.862,-4.817,-4.79,-4.773
Adult,SEVERE_HCC_COUNT4,-4.153,-4.156,-4.028,-3.888,-3.846
Adult,SEVERE_HCC_COUNT5,-3.516,-3.449,-3.249,-3.009,-2.95
Adult,SEVERE_HCC_COUNT6,-3.156,-2.994,-2.73,-2.397,-2.324
Adult,SEVERE_HCC_COUNT7,-2.53,-2.245,-1.919,-1.5,-1.416
Adult,SEVERE_HCC_COUNT8,-2.256,-1.892,-1.533,-1.032,-0.937
Adult,SEVERE_HCC_COUNT9,-0.34,0.167,0.584,1.168,1.272
Adult,SEVERE_HCC_COUNT10PLUS,6.502,7.375,7.911,8.712,8.843
Adult,TRANSPLANT_HCC_COUNT4,3.477,3.361,3.294,3.166,3.135
Adult,TRANSPLANT_HCC_COUNT5,6.562,6.432,6.377,6.257,6.23
Adult,TRANSPLANT_HCC_COUNT6,10.719,10.577,10.528,10.406,10.378
Adult,TRANSPLANT_HCC_COUNT7,14.795,14.638,14.587,14.47,14.446
Adult,TRANSPLANT_HCC_COUNT8PLUS,30.299,30.239,30.216,30.134,30.108
Adult,HCC_ED1,11.555,10.113,9.204,8.283,8.115
Adult,HCC_ED2,5.273,4.546,4.057,3.59,3.506
Adult,HCC_ED3,3.356,2.884,2.543,2.224,2.169
Adult,HCC_ED4,2.109,1.785,1.538,1.312,1.272
Adult,HCC_ED5,1.584,1.343,1.152,0.975,0.942
Adult,HCC_ED6,1.014,0.837,0.689,0.548,0.521
Adult,ACF01,3.74,3.671,3.609,3.511,3.49
Adult,RXC_01,5.089,4.598,4.309,3.922,3.866
Adult,RXC_02,8.246,7.771,7.736,7.618,7.637
Adult,RXC_03,0.07,0.063,0.056,0.046,0.046
Adult,RXC_04,0.92,1.051,0.885,1.053,1.217
Adult,RXC_05,1.208,1.145,1.058,0.954,0.929
Adult,RXC_06,1.346,1.183,1.022,0.861,0.828
Adult,RXC_07,0.861,0.76,0.636,0.456,0.417
Adult,RXC_08,14.246,13.514,13.325,12.956,12.906
Adult,RXC_09,11.919,11.393,11.362,11.213,11.226
Adult,RXC_10,20.797,20.325,20.299,20.171,20.18
Adult,RXC_01_x_HCC001,2.562,2.555,2.81,3.049,3.115
Adult,RXC_02_x_HCC037_1_036_035_2_035_1_034,-0.532,-0.472,-0.424,-0.371,-0.364
Adult,RXC_03_x_HCC142,0,0,0,0,0
Adult,RXC_04_x_HCC184_183_187_188,0,0,0,0,0
Adult,RXC_05_x_HCC048_041,-0.865,-0.827,-0.778,-0.704,-0.687
Adult,RXC_06_x_HCC018_019_020_021,0.397,0.428,0.499,0.496,0.502
Adult,RXC_07_x_HCC018_019_020_021,-0.224,-0.182,-0.142,-0.102,-0.094
Adult,RXC_08_x_HCC118,-0.69,-0.371,-0.137,0.193,0.271
Adult,RXC_09_x_HCC056_057_and_048_041,0.444,0.504,0.555,0.632,0.647
Adult,RXC_09_x_HCC056,-1.22,-1.126,-1.066,-0.987,-0.974
Adult,RXC_09_x_HCC057,-0.36,-0.294,-0.219,-0.123,-0.103
Adult,RXC_09_x_HCC048_041,-0.102,-0.013,0.053,0.153,0.174
Adult,RXC_10_x_HCC159_158,42.845,42.904,42.99,43.099,43.122
Child,MAGE_LAST_2_4,0.275,0.197,0.147,0.11,0.103
Child,MAGE_LAST_5_9,0.206,0.139,0.1,0.076,0.071
Child,MAGE_LAST_10_14,0.218,0.153,0.113,0.089,0.085
Child,MAGE_LAST_15_20,0.253,0.182,0.135,0.101,0.095
Child,FAGE_LAST_2_4,0.222,0.152,0.112,0.087,0.081
Child,FAGE_LAST_5_9,0.153,0.09,0.058,0.04,0.036
Child,FAGE_LAST_10_14,0.221,0.155,0.115,0.091,0.088
Child,FAGE_LAST_15_20,0.286,0.2,0.136,0.09,0.081
Child,HHS_HCC001,4.433,4.021,3.934,3.745,3.738
Child,HHS_HCC002,15.157,14.968,14.893,14.776,14.765
Child,HHS_HCC003,14.259,14.125,14.066,13.984,13.973
Child,HHS_HCC004,13.862,13.735,13.668,13.575,13.559
Child,HHS_HCC006,19.55,19.503,19.43,19.35,19.334
Child,HHS_HCC008,31.113,30.879,30.818,30.711,30.705
Child,HHS_HCC009,9.342,9.119,9.022,8.874,8.855
Child,HHS_HCC010,8.439,8.247,8.142,7.988,7.962
Child,HHS_HCC011,4.085,3.945,3.863,3.739,3.715
Child,HHS_HCC012,4.085,3.945,3.863,3.739,3.715
Child,HHS_HCC013,1.309,1.199,1.105,0.987,0.963
Child,HHS_HCC018,12.113,12.102,12.086,12.073,12.068
Child,HHS_HCC019,0,0,0,0,0
Child,HHS_HCC020,0,0,0,0,0
Child,HHS_HCC021,0,0,0,0,0
Child,HHS_HCC023,19.116,19,18.96,18.905,18.897
Child,HHS_HCC026,0,0,0,0,0
Child,HHS_HCC027,0,0,0,0,0
Child,HHS_HCC028,0,0,0,0,0
Child,HHS_HCC029,0,0,0,0,0
Child,HHS_HCC030,5.04,4.82,4.751,4.645,4.637
Child,HHS_HCC034,12.113,12.102,12.086,12.073,12.068
Child,HHS_HCC035_1,9.375,9.241,9.204,9.133,9.122
Child,HHS_HCC035_2,7.833,7.687,7.638,7.55,7.537
Child,HHS_HCC036,3.898,3.779,3.717,3.629,3.615
Child,HHS_HCC037_1,1.171,1.067,0.995,0.91,0.895
Child,HHS_HCC037_2,0.473,0.401,0.326,0.239,0.218
Child,HHS_HCC041,14.936,14.859,14.793,14.709,14.693
Child,HHS_HCC042,18.317,18.056,18.005,17.906,17.903
Child,HHS_HCC045,4.522,4.352,4.262,4.128,4.109
Child,HHS_HCC046,8.308,8.16,8.109,8.012,7.998
Child,HHS_HCC047,6.026,5.806,5.717,5.565,5.547
Child,HHS_HCC048,10.352,9.97,9.879,9.691,9.676
Child,HHS_HCC054,0,0,0,0,0
Child,HHS_HCC055,0,0,0,0,0
Child,HHS_HCC056,4.773,4.527,4.447,4.318,4.307
Child,HHS_HCC057,0.975,0.876,0.784,0.671,0.65
Child,HHS_HCC061,0,0,0,0,0
Child,HHS_HCC062,0,0,0,0,0
Child,HHS_HCC063,0.884,0.762,0.665,0.541,0.519
Child,HHS_HCC066,62.038,61.611,61.536,61.362,61.352
Child,HHS_HCC067,0,0,0,0,0
Child,HHS_HCC068,0,0,0,0,0
Child,HHS_HCC069,0,0,0,0,0
Child,HHS_HCC070,3.334,3.185,3.102,2.993,2.975
Child,HHS_HCC071,3.334,3.185,3.102,2.993,2.975
Child,HHS_HCC073,0,0,0,0,0
Child,HHS_HCC074,0,0,0,0,0
Child,HHS_HCC075,3.928,3.823,3.755,3.667,3.652
Child,HHS_HCC081,0,0,0,0,0
Child,HHS_HCC082,0,0,0,0,0
Child,HHS_HCC083,0,0,0,0,0
Child,HHS_HCC084,0,0,0,0,0
Child,HHS_HCC087_1,3.539,3.296,3.176,2.994,2.97
Child,HHS_HCC087_2,3.132,2.909,2.777,2.582,2.552
Child,HHS_HCC088,2.588,2.398,2.271,2.101,2.073
Child,HHS_HCC090,0.457,0.373,0.272,0.157,0.132
Child,HHS_HCC094,2.173,2.038,1.947,1.82,1.798
Child,HHS_HCC096,12.591,12.534,12.493,12.442,12.43
Child,HHS_HCC097,0.87,0.763,0.692,0.59,0.572
Child,HHS_HCC102,2.588,2.398,2.271,2.101,2.073
Child,HHS_HCC103,0.484,0.414,0.333,0.251,0.234
Child,HHS_HCC106,0,0,0,0,0
Child,HHS_HCC107,0,0,0,0,0
Child,HHS_HCC108,0,0,0,0,0
Child,HHS_HCC109,0,0,0,0,0
Child,HHS_HCC110,4.587,4.409,4.305,4.145,4.117
Child,HHS_HCC111,45.49,45.226,45.175,45.069,45.058
Child,HHS_HCC112,0.832,0.651,0.58,0.461,0.449
Child,HHS_HCC113,0.381,0.266,0.205,0.124,0.109
Child,HHS_HCC114,1.523,1.414,1.35,1.252,1.237
Child,HHS_HCC115,10.844,10.707,10.684,10.631,10.631
Child,HHS_HCC117,0,0,0,0,0
Child,HHS_HCC118,7.658,7.323,7.253,7.109,7.104
Child,HHS_HCC119,0,0,0,0,0
Child,HHS_HCC120,1.475,1.352,1.242,1.102,1.074
Child,HHS_HCC121,12.443,12.383,12.338,12.292,12.28
Child,HHS_HCC122,11.881,11.883,11.874,11.873,11.87
Child,HHS_HCC123,4.156,4.013,3.917,3.781,3.75
Child,HHS_HCC125,25.819,25.59,25.528,25.42,25.412
Child,HHS_HCC126,0,0,0,0,0
Child,HHS_HCC127,0,0,0,0,0
Child,HHS_HCC128,0,0,0,0,0
Child,HHS_HCC129,0,0,0,0,0
Child,HHS_HCC130,3.788,3.689,3.638,3.557,3.543
Child,HHS_HCC131,0,0,0,0,0
Child,HHS_HCC132,0,0,0,0,0
Child,HHS_HCC135,15.963,15.86,15.788,15.694,15.675
Child,HHS_HCC137,3.733,3.595,3.486,3.351,3.326
Child,HHS_HCC138,0.957,0.868,0.769,0.67,0.651
Child,HHS_HCC139,0.487,0.406,0.328,0.251,0.238
Child,HHS_HCC142,3.006,2.865,2.783,2.67,2.653
Child,HHS_HCC145,12.918,12.858,12.829,12.79,12.784
Child,HHS_HCC146,1.196,1.087,1.028,0.938,0.926
Child,HHS_HCC149,0.789,0.69,0.638,0.554,0.537
Child,HHS_HCC150,5.114,4.996,4.936,4.847,4.836
Child,HHS_HCC151,2.054,1.941,1.874,1.773,1.758
Child,HHS_HCC153,10.494,10.279,10.206,10.072,10.062
Child,HHS_HCC154,10.564,10.421,10.37,10.28,10.271
Child,HHS_HCC156,20.312,20.192,20.129,20.038,20.024
Child,HHS_HCC158,14.936,14.859,14.793,14.709,14.693
Child,HHS_HCC159,51.368,50.855,50.808,50.658,50.665
Child,HHS_HCC160,1.574,1.427,1.323,1.186,1.164
Child,HHS_HCC161_1,1.3,1.15,1.025,0.871,0.843
Child,HHS_HCC161_2,0.315,0.248,0.171,0.105,0.091
Child,HHS_HCC162,1.467,1.341,1.229,1.097,1.072
Child,HHS_HCC163,11.749,11.771,11.801,11.852,11.859
Child,HHS_HCC183,12.113,12.102,12.086,12.073,12.068
Child,HHS_HCC184,25.623,25.42,25.403,25.338,25.332
Child,HHS_HCC187,0,0,0,0,0
Child,HHS_HCC188,0,0,0,0,0
Child,HHS_HCC203,0.755,0.624,0.472,0.33,0.308
Child,HHS_HCC204,0,0,0,0,0
Child,HHS_HCC205,0,0,0,0,0
Child,HHS_HCC207,0,0,0,0,0
Child,HHS_HCC208,0,0,0,0,0
Child,HHS_HCC209,2.183,1.985,1.734,1.324,1.218
Child,HHS_HCC210,0,0,0,0,0
Child,HHS_HCC211,0,0,0,0,0
Child,HHS_HCC212,0.21,0.128,0.027,0,0
Child,HHS_HCC217,2.285,2.193,2.119,2.04,2.026
Child,HHS_HCC218,22.632,22.402,22.327,22.205,22.186
Child,HHS_HCC219,2.588,2.43,2.328,2.189,2.168
Child,HHS_HCC223,22.632,22.402,22.327,22.205,22.186
Child,HHS_HCC226,4.602,4.394,4.29,4.154,4.137
Child,HHS_HCC228,4.31,4.116,3.999,3.829,3.801
Child,HHS_HCC234,0,0,0,0,0
Child,HHS_HCC251,14.936,14.859,14.793,14.709,14.693
Child,HHS_HCC253,5.156,4.991,4.959,4.879,4.875
Child,HHS_HCC254,0,0,0,0,0
Child,G01,2.221,1.995,1.784,1.48,1.431
Child,G02B,30.869,30.64,30.595,30.494,30.492
Child,G02D,4.743,4.634,4.577,4.501,4.489
Child,G03,4.288,4.095,4.002,3.869,3.852
Child,G04,1.213,1.112,1.041,0.953,0.939
Child,G06A,12.776,12.621,12.565,12.478,12.468
Child,G08,5.418,5.282,5.226,5.136,5.125
Child,G09A,2.335,2.193,2.103,1.97,1.948
Child,G09C,0.772,0.645,0.54,0.392,0.368
Child,G10,10.809,10.632,10.574,10.475,10.467
Child,G11,9.869,9.651,9.591,9.476,9.466
Child,G12,5.69,5.547,5.476,5.366,5.35
Child,G13,15.588,15.336,15.257,15.114,15.103
Child,G14,14.936,14.859,14.793,14.709,14.693
Child,G16,0.854,0.779,0.729,0.672,0.665
Child,G17A,0.388,0.293,0.158,0.035,0.011
Child,G18A,3.064,2.798,2.554,2.151,2.065
Child,G19B,0.42,0.308,0.145,0.014,0
Child,G22,4.308,4.125,4.026,3.865,3.835
Child,G23,1.294,1.23,1.18,1.104,1.092
Child,SEVERE_HCC_COUNT1,-11.722,-11.771,-11.801,-11.852,-11.859
Child,SEVERE_HCC_COUNT2,-11.722,-11.771,-11.801,-11.852,-11.859
Child,SEVERE_HCC_COUNT3,-10.55,-10.622,-10.563,-10.543,-10.525
Child,SEVERE_HCC_COUNT4,-9.24,-9.248,-9.085,-8.937,-8.892
Child,SEVERE_HCC_COUNT5,-8.084,-8.044,-7.824,-7.608,-7.549
Child,SEVERE_HCC_COUNT6_7,-3.58,-3.359,-3.017,-2.629,-2.542
Child,SEVERE_HCC_COUNT8PLUS,16.145,16.838,17.41,18.129,18.26
Child,TRANSPLANT_HCC_COUNT4PLUS,13.213,13.245,13.254,13.269,13.272
Child,ACF01,2.143,2.082,2.016,1.933,1.914
Infant,Extremely_Immature_x_Severity5,202.124,200.721,200.443,199.93,199.923
Infant,Extremely_Immature_x_Severity4,135.71,134.101,133.672,132.966,132.922
Infant,Extremely_Immature_x_Severity3,31.009,29.686,29.283,28.69,28.647
Infant,Extremely_Immature_x_Severity2,31.009,29.686,29.283,28.69,28.647
Infant,Extremely_Immature_x_Severity1,31.009,29.686,29.283,28.69,28.647
Infant,Immature_x_Severity5,129.458,128.096,127.837,127.35,127.343
Infant,Immature_x_Severity4,68.163,66.651,66.32,65.727,65.699
Infant,Immature_x_Severity3,31.009,29.686,29.283,28.69,28.647
Infant,Immature_x_Severity2,26.411,25.209,24.81,24.23,24.181
Infant,Immature_x_Severity1,23.143,21.917,21.486,20.866,20.806
Infant,Premature_Multiples_x_Severity5,110.758,109.418,109.135,108.626,108.606
Infant,Premature_Multiples_x_Severity4,28.791,27.494,27.114,26.514,26.473
Infant,Premature_Multiples_x_Severity3,12.969,12.062,11.572,10.902,10.797
Infant,Premature_Multiples_x_Severity2,7.878,7.175,6.664,5.992,5.863
Infant,Premature_Multiples_x_Severity1,5.519,4.934,4.429,3.846,3.726
Infant,Term_x_Severity5,81.499,80.353,80.008,79.461,79.415
Infant,Term_x_Severity4,16.505,15.543,15.08,14.433,14.351
Infant,Term_x_Severity3,5.467,4.914,4.413,3.825,3.702
Infant,Term_x_Severity2,3.655,3.183,2.68,2.112,1.991
Infant,Term_x_Severity1,1.955,1.593,1.156,0.813,0.752
Infant,Age1_x_Severity5,67.661,66.998,66.818,66.533,66.516
Infant,Age1_x_Severity4,12.321,11.828,11.591,11.279,11.24
Infant,Age1_x_Severity3,2.767,2.515,2.325,2.133,2.1
Infant,Age1_x_Severity2,1.792,1.572,1.374,1.176,1.136
Infant,Age1_x_Severity1,0.576,0.485,0.431,0.396,0.389
Infant,Age0_Male,0.606,0.569,0.541,0.484,0.471
Infant,Age1_Male,0.074,0.06,0.044,0.025,0.021
